Sample,Calibration,new,Captan,Captan.1,Captan.2,Captan.3,Captan
A1,0.526940978136696,0.526940978136696,0.526940978136696,0.526940978136696,0.526940978136696,0.526940978136696,0.526940978136696
A2,0.508366519314095,0.508366519314095,0.508366519314095,0.508366519314095,0.508366519314095,0.508366519314095,0.508366519314095
B,0.151596725325262,0.151596725325262,0.151596725325262,0.151596725325262,0.151596725325262,0.151596725325262,0.151596725325262
C1,2.1334564355481,2.1334564355481,2.1334564355481,2.1334564355481,2.1334564355481,2.1334564355481,2.1334564355481
C2,3.02713322795628,3.02713322795628,3.02713322795628,3.02713322795628,3.02713322795628,3.02713322795628,3.02713322795628
D,2.84839786947464,2.84839786947464,2.84839786947464,2.84839786947464,2.84839786947464,2.84839786947464,2.84839786947464
E1,4.05048077063545,4.05048077063545,4.05048077063545,4.05048077063545,4.05048077063545,4.05048077063545,4.05048077063545
F1,1.49211191393753,1.49211191393753,1.49211191393753,1.49211191393753,1.49211191393753,1.49211191393753,1.49211191393753
F2,1.88462877962269,1.88462877962269,1.88462877962269,1.88462877962269,1.88462877962269,1.88462877962269,1.88462877962269
